编号	城市	AQI指数	首要污染物	日期	空气质量级别
267	武汉市	79	细颗粒物(PM2.5)	2019-04-22	良
268	武汉市	55	细颗粒物(PM2.5)	2019-04-21	良
269	武汉市	109	臭氧8小时	2019-04-20	轻度污染
270	武汉市	75	臭氧8小时	2019-04-19	良
271	武汉市	71	颗粒物(PM10)	2019-04-18	良
272	武汉市	80	臭氧8小时	2019-04-17	良
273	武汉市	60	臭氧8小时	2019-04-16	良
274	武汉市	95	臭氧8小时	2019-04-15	良
275	武汉市	63	颗粒物(PM10)	2019-04-14	良
276	武汉市	75	二氧化氮	2019-04-13	良
277	武汉市	71	臭氧8小时	2019-04-12	良
278	武汉市	51	颗粒物(PM10)	2019-04-11	良
279	武汉市	40	—	2019-04-10	优
280	武汉市	41	—	2019-04-09	优
281	武汉市	76	臭氧8小时	2019-04-08	良
282	武汉市	90	臭氧8小时	2019-04-07	良
283	武汉市	82	臭氧8小时	2019-04-06	良
284	武汉市	56	臭氧8小时	2019-04-05	良
285	武汉市	82	二氧化氮	2019-04-04	良
286	武汉市	70	臭氧8小时	2019-04-03	良
287	武汉市	69	二氧化氮	2019-04-02	良
288	武汉市	84	臭氧8小时	2019-04-01	良
289	武汉市	58	颗粒物(PM10)	2019-03-31	良
290	武汉市	86	颗粒物(PM10)	2019-03-30	良
291	武汉市	85	细颗粒物(PM2.5)	2019-03-29	良
292	武汉市	79	细颗粒物(PM2.5)	2019-03-28	良
293	武汉市	73	二氧化氮	2019-03-27	良
294	武汉市	74	二氧化氮	2019-03-26	良
295	武汉市	54	颗粒物(PM10)	2019-03-25	良
296	武汉市	77	细颗粒物(PM2.5)	2019-03-24	良
297	武汉市	63	二氧化氮	2019-03-23	良
298	武汉市	44	—	2019-03-22	优
299	武汉市	69	颗粒物(PM10)	2019-03-21	良
300	武汉市	60	颗粒物(PM10)	2019-03-20	良
301	武汉市	70	细颗粒物(PM2.5)	2019-03-19	良
302	武汉市	69	细颗粒物(PM2.5)	2019-03-18	良
303	武汉市	90	二氧化氮	2019-03-17	良
304	武汉市	94	二氧化氮	2019-03-16	良
305	武汉市	97	二氧化氮	2019-03-15	良
306	武汉市	67	细颗粒物(PM2.5)	2019-03-14	良
307	武汉市	93	二氧化氮	2019-03-13	良
308	武汉市	101	二氧化氮	2019-03-12	轻度污染
309	武汉市	102	二氧化氮	2019-03-11	轻度污染
310	武汉市	100	细颗粒物(PM2.5)	2019-03-10	良
311	武汉市	100	细颗粒物(PM2.5)	2019-03-09	良
312	武汉市	84	细颗粒物(PM2.5)	2019-03-08	良
313	武汉市	63	颗粒物(PM10)	2019-03-07	良
314	武汉市	68	二氧化氮	2019-03-06	良
315	武汉市	55	"二氧化氮,细颗粒物(PM2.5)"	2019-03-05	良
316	武汉市	72	细颗粒物(PM2.5)	2019-03-04	良
317	武汉市	72	细颗粒物(PM2.5)	2019-03-03	良
318	武汉市	63	细颗粒物(PM2.5)	2019-03-02	良
319	武汉市	52	二氧化氮	2019-03-01	良
