编号	城市	AQI指数	首要污染物	日期	空气质量级别
232	上海市	56	臭氧8小时	2019-05-27	良
233	上海市	45	—	2019-05-26	优
234	上海市	70	臭氧8小时	2019-05-25	良
235	上海市	123	臭氧8小时	2019-05-24	轻度污染
236	上海市	202	臭氧8小时	2019-05-23	重度污染
237	上海市	155	臭氧8小时	2019-05-22	中度污染
238	上海市	125	臭氧8小时	2019-05-21	轻度污染
239	上海市	61	臭氧8小时	2019-05-20	良
240	上海市	80	细颗粒物(PM2.5)	2019-05-19	良
241	上海市	54	细颗粒物(PM2.5)	2019-05-18	良
242	上海市	49	—	2019-05-17	优
243	上海市	60	细颗粒物(PM2.5)	2019-05-16	良
244	上海市	36	—	2019-05-15	优
245	上海市	55	臭氧8小时	2019-05-14	良
246	上海市	58	臭氧8小时	2019-05-13	良
247	上海市	112	臭氧8小时	2019-05-12	轻度污染
248	上海市	150	臭氧8小时	2019-05-11	轻度污染
249	上海市	103	臭氧8小时	2019-05-10	轻度污染
250	上海市	127	臭氧8小时	2019-05-09	轻度污染
251	上海市	70	臭氧8小时	2019-05-08	良
252	上海市	66	臭氧8小时	2019-05-07	良
253	上海市	59	臭氧8小时	2019-05-06	良
254	上海市	90	臭氧8小时	2019-05-05	良
255	上海市	92	臭氧8小时	2019-05-04	良
256	上海市	80	二氧化氮	2019-05-03	良
257	上海市	74	"二氧化氮,颗粒物(PM10)"	2019-05-02	良
258	上海市	85	臭氧8小时	2019-05-01	良
259	上海市	54	二氧化氮	2019-04-30	良
260	上海市	68	二氧化氮	2019-04-29	良
261	上海市	58	二氧化氮	2019-04-28	良
262	上海市	66	臭氧8小时	2019-04-27	良
263	上海市	44	—	2019-04-26	优
264	上海市	62	二氧化氮	2019-04-25	良
265	上海市	123	细颗粒物(PM2.5)	2019-04-24	轻度污染
266	上海市	74	二氧化氮	2019-04-23	良
267	上海市	54	二氧化氮	2019-04-22	良
268	上海市	49	—	2019-04-21	优
269	上海市	45	—	2019-04-20	优
270	上海市	60	细颗粒物(PM2.5)	2019-04-19	良
271	上海市	115	臭氧8小时	2019-04-18	轻度污染
272	上海市	75	臭氧8小时	2019-04-17	良
273	上海市	57	臭氧8小时	2019-04-16	良
274	上海市	63	臭氧8小时	2019-04-15	良
275	上海市	67	细颗粒物(PM2.5)	2019-04-14	良
276	上海市	78	臭氧8小时	2019-04-13	良
277	上海市	84	臭氧8小时	2019-04-12	良
278	上海市	56	臭氧8小时	2019-04-11	良
279	上海市	43	—	2019-04-10	优
280	上海市	55	臭氧8小时	2019-04-09	良
281	上海市	99	细颗粒物(PM2.5)	2019-04-08	良
282	上海市	119	"细颗粒物(PM2.5),臭氧8小时"	2019-04-07	轻度污染
283	上海市	90	臭氧8小时	2019-04-06	良
284	上海市	97	臭氧8小时	2019-04-05	良
285	上海市	55	细颗粒物(PM2.5)	2019-04-04	良
286	上海市	77	二氧化氮	2019-04-03	良
287	上海市	71	臭氧8小时	2019-04-02	良
288	上海市	77	臭氧8小时	2019-04-01	良
289	上海市	54	臭氧8小时	2019-03-31	良
290	上海市	78	细颗粒物(PM2.5)	2019-03-30	良
291	上海市	63	"二氧化氮,细颗粒物(PM2.5)"	2019-03-29	良
292	上海市	97	二氧化氮	2019-03-28	良
293	上海市	84	二氧化氮	2019-03-27	良
294	上海市	82	二氧化氮	2019-03-26	良
295	上海市	80	二氧化氮	2019-03-25	良
296	上海市	69	臭氧8小时	2019-03-24	良
297	上海市	52	臭氧8小时	2019-03-23	良
298	上海市	46	—	2019-03-22	优
299	上海市	74	细颗粒物(PM2.5)	2019-03-21	良
300	上海市	59	臭氧8小时	2019-03-20	良
301	上海市	64	二氧化氮	2019-03-19	良
302	上海市	55	二氧化氮	2019-03-18	良
303	上海市	108	细颗粒物(PM2.5)	2019-03-17	轻度污染
304	上海市	81	臭氧8小时	2019-03-16	良
305	上海市	69	二氧化氮	2019-03-15	良
306	上海市	58	二氧化氮	2019-03-14	良
307	上海市	60	颗粒物(PM10)	2019-03-13	良
308	上海市	105	细颗粒物(PM2.5)	2019-03-12	轻度污染
309	上海市	95	细颗粒物(PM2.5)	2019-03-11	良
310	上海市	69	细颗粒物(PM2.5)	2019-03-10	良
311	上海市	100	二氧化氮	2019-03-09	良
312	上海市	52	二氧化氮	2019-03-08	良
313	上海市	89	细颗粒物(PM2.5)	2019-03-07	良
314	上海市	103	细颗粒物(PM2.5)	2019-03-06	轻度污染
